ion,conc,pH,T,L*,theta*,MI,G_S
H+,0.00012,5.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00012,5.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00012,5.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00012,5.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00012,5.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00012,5.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00012,5.666666666666667,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00012,5.666666666666667,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00012,5.666666666666667,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00012,6.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00012,6.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00012,6.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00012,6.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00012,6.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00012,6.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00012,6.666666666666666,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00012,6.666666666666666,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00012,6.666666666666666,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00012,7.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00012,7.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00012,7.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00012,7.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00012,7.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00012,7.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00012,7.666666666666666,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00012,7.666666666666666,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00012,7.666666666666666,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00012,8.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00012,8.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00012,8.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00023,5.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00023,5.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00023,5.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00023,5.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00023,5.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00023,5.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00023,5.666666666666667,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00023,5.666666666666667,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00023,5.666666666666667,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00023,6.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00023,6.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00023,6.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00023,6.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00023,6.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00023,6.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00023,6.666666666666666,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00023,6.666666666666666,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00023,6.666666666666666,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00023,7.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00023,7.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00023,7.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00023,7.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00023,7.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00023,7.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00023,7.666666666666666,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00023,7.666666666666666,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
