000,001,010,011,100,101,110,111,θ_thresh,mi_thresh,total
2,6,5,31,7,39,27,183,0.1388888888888889,0.44555555555555554,300
2,6,5,31,7,39,27,183,0.1388888888888889,0.5,300
2,8,11,34,12,39,33,161,0.1711111111111111,0.01,300
2,8,11,34,12,39,33,161,0.1711111111111111,0.06444444444444444,300
2,8,11,34,12,39,33,161,0.1711111111111111,0.11888888888888888,300
2,8,11,34,12,39,33,161,0.1711111111111111,0.17333333333333334,300
2,8,11,34,12,39,33,161,0.1711111111111111,0.22777777777777777,300
2,8,11,34,12,39,33,161,0.1711111111111111,0.2822222222222222,300
2,8,11,34,12,39,33,161,0.1711111111111111,0.33666666666666667,300
2,8,11,34,12,39,33,161,0.1711111111111111,0.3911111111111111,300
2,8,11,34,12,39,33,161,0.1711111111111111,0.44555555555555554,300
2,8,11,34,12,39,33,161,0.1711111111111111,0.5,300
3,11,14,38,14,41,40,139,0.20333333333333334,0.01,300
3,11,14,38,14,41,40,139,0.20333333333333334,0.06444444444444444,300
3,11,14,38,14,41,40,139,0.20333333333333334,0.11888888888888888,300
3,11,14,38,14,41,40,139,0.20333333333333334,0.17333333333333334,300
3,11,14,38,14,41,40,139,0.20333333333333334,0.22777777777777777,300
3,11,14,38,14,41,40,139,0.20333333333333334,0.2822222222222222,300
3,11,14,38,14,41,40,139,0.20333333333333334,0.33666666666666667,300
3,11,14,38,14,41,40,139,0.20333333333333334,0.3911111111111111,300
3,11,14,38,14,41,40,139,0.20333333333333334,0.44555555555555554,300
3,11,14,38,14,41,40,139,0.20333333333333334,0.5,300
4,13,18,38,16,39,44,128,0.23555555555555557,0.01,300
4,13,18,38,16,39,44,128,0.23555555555555557,0.06444444444444444,300
4,13,18,38,16,39,44,128,0.23555555555555557,0.11888888888888888,300
4,13,18,38,16,39,44,128,0.23555555555555557,0.17333333333333334,300
4,13,18,38,16,39,44,128,0.23555555555555557,0.22777777777777777,300
4,13,18,38,16,39,44,128,0.23555555555555557,0.2822222222222222,300
4,13,18,38,16,39,44,128,0.23555555555555557,0.33666666666666667,300
4,13,18,38,16,39,44,128,0.23555555555555557,0.3911111111111111,300
4,13,18,38,16,39,44,128,0.23555555555555557,0.44555555555555554,300
4,13,18,38,16,39,44,128,0.23555555555555557,0.5,300
6,16,22,40,19,36,46,115,0.2677777777777778,0.01,300
6,16,22,40,19,36,46,115,0.2677777777777778,0.06444444444444444,300
6,16,22,40,19,36,46,115,0.2677777777777778,0.11888888888888888,300
6,16,22,40,19,36,46,115,0.2677777777777778,0.17333333333333334,300
6,16,22,40,19,36,46,115,0.2677777777777778,0.22777777777777777,300
6,16,22,40,19,36,46,115,0.2677777777777778,0.2822222222222222,300
6,16,22,40,19,36,46,115,0.2677777777777778,0.33666666666666667,300
6,16,22,40,19,36,46,115,0.2677777777777778,0.3911111111111111,300
6,16,22,40,19,36,46,115,0.2677777777777778,0.44555555555555554,300
6,16,22,40,19,36,46,115,0.2677777777777778,0.5,300
8,18,25,44,21,39,48,97,0.3,0.01,300
8,18,25,44,21,39,48,97,0.3,0.06444444444444444,300
8,18,25,44,21,39,48,97,0.3,0.11888888888888888,300
8,18,25,44,21,39,48,97,0.3,0.17333333333333334,300
8,18,25,44,21,39,48,97,0.3,0.22777777777777777,300
8,18,25,44,21,39,48,97,0.3,0.2822222222222222,300
8,18,25,44,21,39,48,97,0.3,0.33666666666666667,300
8,18,25,44,21,39,48,97,0.3,0.3911111111111111,300
8,18,25,44,21,39,48,97,0.3,0.44555555555555554,300
8,18,25,44,21,39,48,97,0.3,0.5,300
