theta,deltaG,MI,RUPTURE
0.47512562814070347,-6922.545560174272,430653.2663316583,False
0.4796482412060301,-6758.906706427861,434170.8542713568,False
0.48417085427135675,-6592.817265908354,437688.44221105526,False
0.4886934673366834,-6424.813558274856,441206.03015075374,False
0.49321608040201004,-6255.438084549264,444723.6180904523,False
0.4977386934673367,-6085.237775325398,448241.20603015076,False
0.5022613065326633,-5914.762224674603,451758.79396984924,False
0.50678391959799,-5744.561915450737,455276.3819095477,False
0.5113065326633166,-5575.186441725145,458793.9698492462,False
0.5158291457286432,-5407.182734091648,462311.55778894474,False
0.5203517587939699,-5241.09329357214,465829.1457286432,False
0.5248743718592965,-5077.4544398257285,469346.7336683417,False
0.5293969849246231,-4916.794579318142,472864.3216080402,False
0.5339195979899497,-4759.632499043601,476381.9095477387,False
0.5384422110552763,-4606.475691308988,479899.49748743715,False
0.542964824120603,-4457.818714989679,483417.0854271357,False
0.5474874371859296,-4314.141598548743,486934.6733668342,False
0.5520100502512563,-4175.908289976309,490452.26130653266,False
0.5565326633165829,-4043.565158654442,493969.84924623114,False
0.5610552763819096,-3917.5395539850865,497487.4371859296,False
0.5655778894472362,-3798.2384254354993,501005.0251256281,False
0.5701005025125628,-3686.0470084570998,504522.61306532664,False
0.5746231155778895,-3581.3275805211188,508040.2010050251,False
0.5791457286432161,-3484.4182912878678,511557.7889447236,False
0.5836683417085428,-3395.6320706871675,515075.3768844221,False
0.5881909547738694,-3315.255618435857,518592.9648241206,False
0.592713567839196,-3243.548478255298,522110.5527638191,False
0.5972361809045227,-3180.7421997783727,525628.1407035176,False
0.6017587939698492,-3127.0395908522114,529145.7286432161,False
0.6062814070351759,-3082.6140626510723,532663.3165829146,False
0.6108040201005025,-3047.6090697140653,536180.904522613,False
0.6153266331658291,-3022.137646715885,539698.4924623115,False
0.6198492462311558,-3006.2820434663704,543216.0804020101,False
0.6243718592964824,-3000.093459317531,546733.6683417086,False
0.6288944723618091,-3003.591877835634,550251.2562814071,False
0.6334170854271357,-3016.7660022722466,553768.8442211056,False
0.6379396984924623,-3039.5732920425794,557286.432160804,True
0.642462311557789,-3071.9401000933526,560804.0201005025,True
0.6469849246231156,-3113.761910716611,564321.608040201,True
0.6515075376884423,-3164.903677041543,567839.1959798995,True
0.6560301507537689,-3225.200257114536,571356.783919598,True
0.6605527638190954,-3294.4569471593018,574874.3718592965,True
0.6650753768844221,-3372.4501102951394,578391.9597989949,True
0.6695979899497487,-3458.9278986831014,581909.5477386934,True
0.6741206030150754,-3553.611066768245,585427.1356783919,True
0.678643216080402,-3656.19387299185,588944.7236180904,True
0.6831658291457287,-3766.3450670619513,592462.3115577889,True
0.6876884422110553,-3883.708959594145,595979.8994974873,True
0.6922110552763819,-4007.906570668705,599497.487437186,True
0.6967336683417086,-4138.536853595219,603015.0753768844,True
0.7012562814070352,-4275.177989933032,606532.6633165829,True
0.7057788944723619,-4417.388751585812,610050.2512562814,True
0.7103015075376885,-4564.709925571849,613567.8391959799,True
0.7148241206030151,-4716.665796869371,617085.4271356784,True
